time=7305ms


BODY: left=0,top=0,right=1423,bottom=7490; DOM="[object HTMLBodyElement]"
DIV: left=351,top=2760,right=576,bottom=2931; DOM="[object HTMLDivElement]"

DIV: left=351,top=2760,right=578,bottom=2931; DOM="[object HTMLDivElement]"

A: left=351,top=2760,right=576,bottom=2929; DOM="http://www.ebay.co.uk/itm/Sega-Master-System-Pal-Game-FORGOTTEN-WORLDS-with-Box-Instructions-/172519907043?hash=item282afcdee3:g:XQwAAOSwA3dYli-q"

H3: left=591,top=2758,right=1120,bottom=2798; DOM="[object HTMLHeadingElement]"
UL: left=591,top=2800,right=776,bottom=2883; DOM="[object HTMLUListElement]"
UL: left=776,top=2800,right=1091,bottom=2878; DOM="[object HTMLUListElement]"

H3: left=591,top=2758,right=1120,bottom=2798; DOM="[object HTMLHeadingElement]"

A: left=591,top=2759,right=1107,bottom=2798; DOM="http://www.ebay.co.uk/itm/Sega-Master-System-Pal-Game-FORGOTTEN-WORLDS-with-Box-Instructions-/172519907043?hash=item282afcdee3:g:XQwAAOSwA3dYli-q"

UL: left=591,top=2800,right=776,bottom=2883; DOM="[object HTMLUListElement]"

LI: left=591,top=2808,right=768,bottom=2830; DOM="[object HTMLLIElement]"

LI: left=591,top=2830,right=768,bottom=2851; DOM="[object HTMLLIElement]"

LI: left=591,top=2851,right=768,bottom=2871; DOM="[object HTMLLIElement]"

SPAN: left=591,top=2853,right=675,bottom=2868; DOM="[object HTMLSpanElement]"

SPAN: left=591,top=2853,right=675,bottom=2868; DOM="[object HTMLSpanElement]"

UL: left=776,top=2800,right=1091,bottom=2878; DOM="[object HTMLUListElement]"

LI: left=784,top=2808,right=1092,bottom=2836; DOM="[object HTMLLIElement]"

SPAN: left=789,top=2813,right=932,bottom=2831; DOM="[object HTMLSpanElement]"

SPAN: left=789,top=2813,right=932,bottom=2831; DOM="[object HTMLSpanElement]"

LI: left=784,top=2836,right=1092,bottom=2869; DOM="[object HTMLLIElement]"

SPAN: left=789,top=2841,right=907,bottom=2864; DOM="[object HTMLSpanElement]"

DIV: left=351,top=2954,right=576,bottom=3179; DOM="[object HTMLDivElement]"

DIV: left=351,top=2954,right=576,bottom=3179; DOM="[object HTMLDivElement]"

